,action,time,wealth,Position
1,sell,2021-12-13 09:43:25,17886.46,-1
2,buy,2021-12-13 10:03:25,-0.2400000000016007,0
3,buy,2021-12-13 10:03:30,-17887.04,1
4,sell,2021-12-13 10:50:05,-37.45000000000073,0
5,sell,2021-12-13 10:50:30,17813.1,-1
6,buy,2021-12-13 11:03:10,-29.94000000000233,0
7,buy,2021-12-13 11:03:15,-17875.140000000003,1
8,sell,2021-12-13 11:10:10,-15.970000000004802,0
9,sell,2021-12-13 11:10:15,17841.829999999994,-1
10,buy,2021-12-13 11:56:40,-22.68000000000393,0
11,buy,2021-12-13 11:57:30,-17878.400000000005,1
12,sell,2021-12-13 12:02:55,-8.270000000004075,0
13,sell,2021-12-13 12:03:00,17851.959999999995,-1
14,buy,2021-12-13 12:30:15,-3.7000000000043656,0
15,buy,2021-12-13 12:30:25,-17858.640000000003,1
16,sell,2021-12-13 12:40:05,2.4499999999970896,0
17,sell,2021-12-13 12:40:10,17861.119999999995,-1
18,buy,2021-12-13 12:50:05,7.919999999994616,0
19,buy,2021-12-13 12:50:15,-17845.520000000004,1
20,sell close,2021-12-13 13:29:45,-77.92000000000553,0
